model,fold,roc_auc,average_precision,balanced_accuracy,precision,recall,f1,fit_time_seconds,score_time_seconds
dummy_prior,1,0.5,0.11694774675145148,0.5,0.0,0.0,0.0,0.1488490104675293,0.058438777923583984
dummy_prior,2,0.5,0.11694774675145148,0.5,0.0,0.0,0.0,0.16310763359069824,0.06572246551513672
dummy_prior,3,0.5,0.1170859828587227,0.5,0.0,0.0,0.0,0.15544629096984863,0.06843137741088867
dummy_prior,4,0.5,0.11696391538780589,0.5,0.0,0.0,0.0,0.15572643280029297,0.06259799003601074
dummy_prior,5,0.5,0.11696391538780589,0.5,0.0,0.0,0.0,0.14992499351501465,0.06421160697937012
logistic_regression,1,0.713581982174023,0.34505854221820154,0.5699714372841512,0.6614583333333334,0.15011820330969267,0.24470134874759153,0.30593132972717285,0.07540512084960938
logistic_regression,2,0.7039378096638053,0.3352910254882472,0.578844642214791,0.6428571428571429,0.1702127659574468,0.2691588785046729,0.2756993770599365,0.08172035217285156
logistic_regression,3,0.7135250561528369,0.3456859527388017,0.5760623935610057,0.6666666666666666,0.16292798110979928,0.2618595825426945,0.38622331619262695,0.060930728912353516
logistic_regression,4,0.7113302878445837,0.3496402097220166,0.5735167400093497,0.6717171717171717,0.15721040189125296,0.2547892720306513,0.3746929168701172,0.06650400161743164
logistic_regression,5,0.7240011015282595,0.3610823019150201,0.58060893859091,0.6904761904761905,0.17139479905437352,0.2746212121212121,0.28455018997192383,0.06948518753051758
logistic_regression_balanced,1,0.715119476382283,0.3441344476715575,0.6689633784385913,0.22939866369710468,0.6087470449172577,0.33322549336784213,1.1298441886901855,0.23143386840820312
logistic_regression_balanced,2,0.7056455403230939,0.3345136526410472,0.6558840378901931,0.21419624217119,0.6063829787234043,0.31656896019746994,1.1419939994812012,0.2453010082244873
logistic_regression_balanced,3,0.7112282937467617,0.33986148632181595,0.6558921244433008,0.21939447125932426,0.5903187721369539,0.3198976327575176,1.1275966167449951,0.23535537719726562
logistic_regression_balanced,4,0.7117872221981633,0.34707546012370977,0.6645743737001245,0.23059149722735675,0.5898345153664303,0.3315614617940199,1.1687257289886475,0.2406625747680664
logistic_regression_balanced,5,0.7242607527627964,0.3601218523043146,0.6626328191017437,0.22627080521817364,0.5945626477541371,0.3277940697295536,1.0545985698699951,0.23508334159851074
random_forest_balanced,1,0.7345208806109563,0.36058749861755107,0.681278690393187,0.30095108695652173,0.5236406619385343,0.3822260569456428,6.485898017883301,0.4519212245941162
random_forest_balanced,2,0.734385431608616,0.38065044141500315,0.6739403891161175,0.2875902823374918,0.5177304964539007,0.36977627691008863,6.410036563873291,0.4475572109222412
random_forest_balanced,3,0.7311004181493954,0.38205912478439247,0.6780477020453108,0.2976271186440678,0.5182998819362455,0.3781223083548665,6.405220985412598,0.4451117515563965
random_forest_balanced,4,0.7310163115755592,0.36628468192520547,0.6778610031235877,0.3027972027972028,0.5118203309692672,0.3804920913884007,6.5400872230529785,0.44962143898010254
random_forest_balanced,5,0.7404482398311286,0.4012718610131978,0.6817513299954363,0.298,0.5283687943262412,0.38107416879795397,6.554158449172974,0.45104074478149414
