targeting_fraction,targeting_percentage,targeted_clients,subscribers_captured,subscriber_capture_rate,subscriber_capture_percentage,targeting_precision,targeting_precision_percentage,baseline_subscription_rate,lift_over_random_targeting,expected_subscribers_under_random_targeting,additional_subscribers_vs_random_expectation
0.05,5.0,453,256,0.24196597353497165,24.196597353497165,0.565121412803532,56.5121412803532,0.11699657193409267,4.830239069926598,52.99944708614398,203.000552913856
0.1,10.0,905,400,0.3780718336483932,37.80718336483932,0.4419889502762431,44.19889502762431,0.11699657193409267,3.7777940239584744,105.88189760035387,294.11810239964615
0.2,20.0,1809,551,0.5207939508506616,52.07939508506616,0.30458817025981205,30.458817025981205,0.11699657193409267,2.6033939732131195,211.64679862877364,339.35320137122636
0.3,30.0,2713,655,0.6190926275992439,61.90926275992439,0.24143015112421673,24.143015112421672,0.11699657193409267,2.0635660270475347,317.4116996571934,337.5883003428066
0.5,50.0,4522,813,0.7684310018903592,76.84310018903592,0.1797877045555064,17.97877045555064,0.11699657193409267,1.5366920721128965,529.0584982859671,283.94150171403294
1.0,100.0,9043,1058,1.0,100.0,0.11699657193409267,11.699657193409267,0.11699657193409267,1.0,1058.0,0.0
