model,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_balanced_accuracy,std_balanced_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_fit_time_seconds,mean_score_time_seconds
random_forest_balanced,0.7342942563551312,0.003836557980969603,0.37817072155107,0.015853856009458888,0.6785758229347278,0.0031490658659974087,0.2973931381470568,0.005881792343291119,0.5199720331248379,0.006289579881118427,0.3783381804793905,0.005014811591781841,6.479080247879028,0.4490504741668701
logistic_regression,0.7132752474727015,0.007179328808544852,0.3473516064164574,0.0093174548815863,0.5758008303320415,0.004232316240497594,0.666635101010101,0.017222196459042872,0.16237283026451305,0.00894420557520938,0.26102605878936447,0.011801052702059512,0.32541942596435547,0.07080907821655273
logistic_regression_balanced,0.7136082570826197,0.006858292420689131,0.34514137981248905,0.009617626983415527,0.6615893467147906,0.005687364393634233,0.22397033591462984,0.006983375339134221,0.5979691917796367,0.008989721244922328,0.32580952356928067,0.0072862591440207665,1.124551820755005,0.23756723403930663
dummy_prior,0.5,0.0,0.11698186142744749,5.876439263078321e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15461087226867676,0.06388044357299805
